000 000 -7500  000 500 -7500  500 500 -7500  500 000 -7500
000 000 -7000  000 500 -7000  500 500 -7000  500 000 -7000
000 000 -6500  000 500 -6500  500 500 -6500  500 000 -6500
000 000 -6000  000 500 -6000  500 500 -6000  500 000 -6000
000 000 -5500  000 500 -5500  500 500 -5500  500 000 -5500
000 000 -5000  000 500 -5000  500 500 -5000  500 000 -5000
000 000 -4500  000 500 -4500  500 500 -4500  500 000 -4500
000 000 -4000  000 500 -4000  500 500 -4000  500 000 -4000
000 000 -3500  000 500 -3500  500 500 -3500  500 000 -3500
000 000 -3000  000 500 -3000  500 500 -3000  500 000 -3000
000 000 -2500  000 500 -2500  500 500 -2500  500 000 -2500
000 000 -2000  000 500 -2000  500 500 -2000  500 000 -2000
000 000 -1500  000 500 -1500  500 500 -1500  500 000 -1500
000 000 -1000  000 500 -1000  500 500 -1000  500 000 -1000
000 000 -500   000 500 -500   500 500 -500   500 000 -500
000 000 000    000 500 000    500 500 000    500 000 000
000 000 500    000 500 500    500 500 500    500 000 500
000 000 1000   000 500 1000   500 500 1000   500 000 1000
000 000 1500   000 500 1500   500 500 1500   500 000 1500
000 000 2000   000 500 2000   500 500 2000   500 000 2000
